,Cluster,Constellations,MPP,SIMD,SMP,Single Processor,date
15,0.0,0.0,119,35.0,249.0,97.0,199306
41,0.0,0.0,143,32.0,233.0,92.0,199311
2,0.0,0.0,201,23.0,196.0,80.0,199406
20,0.0,0.0,212,27.0,216.0,45.0,199411
0,0.0,0.0,219,11.0,241.0,29.0,199506
23,0.0,16.0,261,7.0,194.0,22.0,199511
39,0.0,24.0,234,7.0,216.0,19.0,199606
19,0.0,19.0,288,7.0,183.0,3.0,199611
35,1.0,12.0,270,2.0,215.0,0.0,199706
13,1.0,10.0,226,0.0,263.0,0.0,199711
28,1.0,14.0,219,0.0,266.0,0.0,199806
7,2.0,17.0,226,0.0,255.0,0.0,199811
33,6.0,25.0,247,0.0,222.0,0.0,199906
10,7.0,66.0,258,0.0,169.0,0.0,199911
24,11.0,93.0,257,0.0,139.0,0.0,200006
4,28.0,115.0,346,0.0,11.0,0.0,200011
25,32.0,118.0,319,0.0,31.0,0.0,200106
3,43.0,143.0,257,0.0,57.0,0.0,200111
36,81.0,184.0,232,0.0,3.0,0.0,200206
12,93.0,204.0,203,0.0,0.0,0.0,200211
40,149.0,140.0,211,0.0,0.0,0.0,200306
18,210.0,127.0,163,0.0,0.0,0.0,200311
1,289.0,85.0,126,0.0,0.0,0.0,200406
21,294.0,107.0,99,0.0,0.0,0.0,200411
22,304.0,79.0,117,0.0,0.0,0.0,200506
30,361.0,36.0,103,0.0,0.0,0.0,200511
5,364.0,38.0,98,0.0,0.0,0.0,200606
27,361.0,31.0,108,0.0,0.0,0.0,200611
9,373.0,20.0,107,0.0,0.0,0.0,200706
26,406.0,3.0,91,0.0,0.0,0.0,200711
34,400.0,2.0,98,0.0,0.0,0.0,200806
8,410.0,2.0,88,0.0,0.0,0.0,200811
29,410.0,2.0,88,0.0,0.0,0.0,200906
6,417.0,2.0,81,0.0,0.0,0.0,200911
31,424.0,2.0,74,0.0,0.0,0.0,201006
16,414.0,2.0,84,0.0,0.0,0.0,201011
38,411.0,2.0,87,0.0,0.0,0.0,201106
17,410.0,1.0,89,0.0,0.0,0.0,201111
14,407.0,0.0,93,0.0,0.0,0.0,201206
37,411.0,0.0,89,0.0,0.0,0.0,201211
32,417.0,0.0,83,0.0,0.0,0.0,201306
11,423.0,0.0,77,0.0,0.0,0.0,201311
