,China,France,Germany,Italy,Japan,"Korea, South",Others,Russia,United Kingdom,United States,date
15,0.0,26,59,6,111,3.0,45,0.0,25,225,199306
41,0.0,22,58,6,107,4.0,46,0.0,21,236,199311
2,0.0,24,43,2,109,3.0,49,0.0,24,246,199406
20,0.0,24,51,3,82,3.0,71,0.0,24,242,199411
0,1.0,27,52,5,66,1.0,58,0.0,16,274,199506
23,1.0,25,48,6,73,6.0,63,0.0,17,261,199511
39,1.0,18,47,4,93,6.0,62,0.0,12,257,199606
19,1.0,17,51,6,80,3.0,57,0.0,18,267,199611
35,0.0,19,45,1,87,9.0,49,1.0,24,265,199706
13,0.0,20,43,3,91,9.0,44,1.0,24,265,199711
28,0.0,10,46,3,83,8.0,39,1.0,25,285,199806
7,0.0,14,49,1,69,6.0,42,1.0,28,290,199811
33,0.0,18,47,5,56,3.0,49,0.0,29,293,199906
10,1.0,27,69,6,57,5.0,43,0.0,24,268,199911
24,2.0,20,65,6,61,4.0,55,0.0,28,259,200006
4,0.0,28,55,9,63,4.0,73,0.0,34,234,200011
25,0.0,20,64,12,54,6.0,59,0.0,32,253,200106
3,3.0,23,59,11,57,16.0,66,1.0,34,230,200111
36,3.0,23,64,16,53,11.0,66,1.0,37,226,200206
12,5.0,22,71,16,47,9.0,62,1.0,39,228,200211
40,6.0,18,56,14,39,13.0,69,2.0,36,247,200306
18,10.0,16,36,17,32,14.0,94,2.0,33,246,200311
1,14.0,16,34,18,34,9.0,79,2.0,36,258,200406
21,17.0,15,33,15,30,11.0,69,2.0,42,266,200411
22,19.0,11,40,11,23,14.0,70,3.0,32,277,200506
30,17.0,8,24,6,20,7.0,71,1.0,41,305,200511
5,28.0,8,18,7,29,4.0,71,1.0,35,299,200606
27,18.0,12,18,8,30,6.0,67,2.0,30,309,200611
9,13.0,13,24,5,23,5.0,89,5.0,42,281,200706
26,10.0,17,31,6,20,1.0,77,7.0,48,283,200711
34,12.0,34,46,6,22,1.0,60,9.0,53,257,200806
8,15.0,26,25,11,17,1.0,61,8.0,46,290,200811
29,21.0,23,29,6,15,0.0,66,5.0,44,291,200906
6,21.0,26,27,6,16,2.0,72,8.0,45,277,200911
31,24.0,27,24,7,18,1.0,68,11.0,38,282,201006
16,41.0,26,26,6,26,3.0,62,11.0,25,274,201011
38,61.0,25,30,5,26,4.0,55,12.0,27,255,201106
17,74.0,23,20,4,30,3.0,51,5.0,27,263,201111
14,68.0,22,20,8,35,3.0,62,5.0,25,252,201206
37,72.0,21,19,7,32,4.0,62,8.0,24,251,201211
32,66.0,23,19,6,30,4.0,63,8.0,29,252,201306
11,63.0,22,20,5,28,5.0,65,5.0,23,264,201311
