,bottom,date,top,total
0,0.422,199306,59.7,1122.845
1,0.472,199311,124.0,1466.21
2,0.822,199406,143.4,2233.882
3,1.114,199411,170.0,2622.338
4,1.955,199506,170.0,3927.029
5,2.489,199511,170.0,4784.547
6,3.306,199606,220.4,5894.544
7,4.62,199611,368.2,7981.229
8,7.67,199706,1068.0,12844.358
9,9.513,199711,1338.0,16898.131
10,13.39,199806,1338.0,22625.134
11,17.12,199811,1338.0,29367.614
12,24.7,199906,2121.0,39062.579
13,33.09,199911,2379.0,50938.556
14,43.82,200006,2379.0,64230.106
15,55.3,200011,4938.0,88080.876
16,67.78,200106,7226.0,108275.866
17,94.3,200111,7226.0,134977.506
18,134.3,200206,35860.0,222245.166
19,195.8,200211,35860.0,292713.56
20,245.1,200306,35860.0,373063.56
21,402.5,200311,35860.0,529241.568
22,624.258,200406,35860.0,814895.674
23,850.6,200411,70720.0,1130916.756
24,1166.0,200506,136800.0,1694716.64
25,1645.7,200511,280600.0,2298496.69
26,2026.0,200606,280600.0,2790054.02
27,2736.9,200611,280600.0,3527458.35
28,4005.0,200706,280600.0,4946586.05
29,5929.6,200711,478200.0,6966169.82
30,8996.78,200806,1026000.0,11700016.97
31,12593.5,200811,1105000.0,16927325.8
32,17088.8,200906,1105000.0,22607996.3
33,20051.0,200911,1759000.0,27977501.8
34,24670.0,201006,1759000.0,32434683.7
35,31112.2,201011,2566000.0,43673092.5
36,40187.3,201106,8162000.0,58930025.6
37,50941.4,201111,10510000.0,74069633.68
38,60824.4,201206,16324751.0,123417786.71
39,76411.0,201211,17590000.0,162139386.75
40,96619.0,201306,33862700.0,223654338.13
41,117831.3,201311,33862700.0,250080467.17
